page_name,page_id,total_ads,unique_ads,percent_unique,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,total_min_reach,per_ad_min_reach,avg_ad_runtime
Generál Pavel - Spolu silnější,102389958091735,1846,332,0.18,2050827,1111,57013077,30885,562726846,304836,5
Tomio Okamura - SPD,179497582061065,1475,1302,0.883,1124612,762,17279262,11715,1458801472,989018,1.4
Petr Fiala,487445514669670,566,266,0.47,1457117,2574,41022217,72477,238173665,420802,4
Česká pirátská strana,109323929038,450,172,0.382,489675,1088,7071275,15714,185678044,412618,7.1
ODS - Občanská demokratická strana,30575632699,434,226,0.521,603433,1390,21464783,49458,182375434,420220,3.5
Zbyněk Stanjura,134443820058669,332,156,0.47,364134,1097,11324834,34111,145219332,437408,3.3
Kde fondy EU pomáhají,470593056405865,324,18,0.056,237588,733,4053338,12510,151302106,466982,11.7
"Ondřej Prokop, místostarosta Prahy 11",197010357446014,256,132,0.516,161872,632,963872,3765,8881355,34693,3.5
Marian Jurečka,356451014434612,223,212,0.951,291888,1309,8144388,36522,102051322,457629,7.1
KDU-ČSL,251656685576,216,196,0.907,772592,3577,25688892,118930,196000216,907408,8.4
Starostové a nezávislí • STAN,370583064327,202,157,0.777,195299,967,2546399,12606,94387400,467264,3.6
TOP 09,90002267161,164,136,0.829,389668,2376,5496418,33515,17650164,107623,8.8
Martin Baxa,146713862010620,152,60,0.395,75374,496,681924,4486,20025152,131744,2.5
Aliance pro budoucnost,109787574497667,144,130,0.903,405928,2819,9795428,68024,127610144,886182,19
ČSSD,111041662264882,133,104,0.782,325434,2447,8385934,63052,103920133,781354,5
Jan Skopeček,1434319750128022,133,91,0.684,112284,844,1451434,10913,31511133,236926,5.6
Mikuláš Peksa,356448681873897,99,91,0.919,264400,2671,3425450,34601,45820099,462829,6.6
Robert Šlachta,103430204491217,97,72,0.742,361652,3728,4871952,50226,67060097,691341,8
Spolu21,100201752249169,91,40,0.44,108354,1191,1997954,21956,50800091,558243,9.5
České zájmy v EU,108726857444837,89,48,0.539,115806,1301,2930456,32926,39080089,439102,3.9
Olga Richterová - poslankyně,102844685102730,88,58,0.659,58256,662,429956,4886,6470086,73524,2.1
Milion chvilek pro demokracii,728495140691300,80,57,0.713,322660,4033,3452460,43156,5320080,66501,3.4
Stanislav Blaha,495496033796328,75,64,0.853,46912,625,586462,7819,1760075,23468,5.7
Andrej Babiš,214827221987263,69,43,0.623,478416,6934,5319966,77101,21915069,317610,1.5
"Václav Salač - hráč, trenér mládeže, milovník fotbalu",100102138818077,59,47,0.797,144220,2444,4295470,72805,56550059,958476,21.4
Martin Kupka,553773474671244,58,47,0.81,42171,727,600471,10353,33100058,570691,4.7
Evropská komise v ČR,397919187215,43,41,0.953,35028,815,265978,6186,4860043,113024,9.8
Pavel Svoboda,104264008348176,35,26,0.743,36932,1055,324482,9271,1638035,46801,7
Alena Schillerová,384187235387895,34,29,0.853,233833,6877,1577983,46411,4660034,137060,2
Tomáš Zdechovský,275042429350706,33,32,0.97,50884,1542,1011484,30651,24600033,745456,6.9
KSČM - Komunistická strana Čech a Moravy,298789466930469,31,22,0.71,87534,2824,768984,24806,17610031,568066,7.2
Martin Kuba,114474108677288,31,23,0.742,79584,2567,937484,30241,4266031,137614,2.7
Trikolóra,739115596482745,30,19,0.633,190785,6360,2481485,82716,22200030,740001,8.4
Jan Lipavský - poslanec,108697510778834,28,22,0.786,15986,571,91986,3285,1170028,41787,2
Zelení - Strana zelených,39371299263,27,24,0.889,14336,531,193486,7166,1860027,68890,3.3
Jana Černochová,112718776235,24,24,1,120538,5022,3067988,127833,10750024,447918,4.3
Pavla Golasowská,1795946254027412,22,21,0.955,13989,636,474489,21568,4700022,213637,3
"Robin Povšík, zastupitel Mladé Boleslavi, ČSSD",301147597357008,22,21,0.955,17689,804,279989,12727,420022,19092,3.6
KHNP,106008800769282,18,8,0.444,218991,12166,5719991,317777,18000018,1000001,6.9
Ivo Valenta,1414644678821208,17,17,1,14442,850,209492,12323,1410016,82942,3.6
Sev.en Energy,992555574111774,17,1,0.059,78842,4638,1082492,63676,10700017,629413,11.1
Daniel Kůs - kandidát do Poslanecké sněmovny PČR,101894271393926,14,13,0.929,4693,335,35993,2571,1227014,87644,3.5
Kancelář Evropského parlamentu,278212515809,8,5,0.625,4496,562,152996,19124,8000008,1000001,4.1
MUDr. Ivan David,466459903794526,7,7,1,11046,1578,153496,21928,2400106,342872,2.4
Pavel Bělobrádek,156945169098,5,5,1,6748,1350,74498,14900,260005,52001,14
Matěj Havel,351488672592066,4,4,1,8048,2012,105498,26374,400004,100001,4.2
Tomáš Goláň - senátor,1917661888252695,3,3,1,30498,10166,224998,74999,1020003,340001,6
ANO,211401918930049,2,1,0.5,10999,5500,69999,35000,550002,275001,3
František Talíř,2108659169383946,2,1,0.5,799,400,4999,2500,110002,55001,8
Jan Grolich I Hejtman JMK,1681478228766601,2,1,0.5,999,500,38999,19500,200002,100001,4
Svoboda a přímá demokracie - SPD,937443906286455,1,1,1,1250,1250,17500,17500,1000001,1000001,1
Václav Klaus ml.,277957209202178,1,1,1,1750,1750,22500,22500,500001,500001,0
