page_name,page_id,total_ads,unique_ads,percent_unique,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,total_min_reach,per_ad_min_reach,avg_ad_runtime
Generál Pavel - Spolu silnější,102389958091735,1846,332,0.18,2050827,1111,57013077,30885,562726846,304836,5
Tomio Okamura - SPD,179497582061065,1492,1315,0.881,1141854,765,17511254,11737,1466901481,983178,1.4
Petr Fiala,487445514669670,576,273,0.474,1459712,2534,41069212,71301,238479675,414027,4
Česká pirátská strana,109323929038,457,176,0.385,495222,1084,7194272,15742,190179051,416147,7.1
ODS - Občanská demokratická strana,30575632699,438,228,0.521,615781,1406,21666281,49466,182675438,417067,3.6
Zbyněk Stanjura,134443820058669,334,157,0.47,369033,1105,11430333,34223,145369334,435238,3.3
Kde fondy EU pomáhají,470593056405865,324,18,0.056,240088,741,4101338,12658,151302106,466982,12
"Ondřej Prokop, místostarosta Prahy 11",197010357446014,258,134,0.519,162571,630,969871,3759,8892357,34466,3.5
Marian Jurečka,356451014434612,232,217,0.935,297034,1280,8297384,35765,102491331,441773,7.2
KDU-ČSL,251656685576,217,197,0.908,788592,3634,26176892,120631,197000217,907835,8.4
Starostové a nezávislí • STAN,370583064327,204,159,0.779,203598,998,2665398,13066,94497402,463223,3.7
TOP 09,90002267161,164,136,0.829,404568,2467,5625418,34301,17650164,107623,8.7
Martin Baxa,146713862010620,152,60,0.395,75374,496,681924,4486,20025152,131744,2.5
Aliance pro budoucnost,109787574497667,144,130,0.903,408628,2838,9890928,68687,127610144,886182,19
Jan Skopeček,1434319750128022,137,95,0.693,116782,852,1506432,10996,31911137,232928,5.6
ČSSD,111041662264882,135,105,0.778,333282,2469,8574932,63518,104970135,777557,5.1
Mikuláš Peksa,356448681873897,99,91,0.919,264700,2674,3430450,34651,45820099,462829,6.6
Robert Šlachta,103430204491217,97,72,0.742,363652,3749,4905952,50577,67060097,691341,8
Spolu21,100201752249169,91,40,0.44,108354,1191,1997954,21956,50800091,558243,9.5
České zájmy v EU,108726857444837,89,48,0.539,117006,1315,2974456,33421,39080089,439102,3.9
Olga Richterová - poslankyně,102844685102730,89,59,0.663,58506,657,432456,4859,6580088,73934,2.1
Milion chvilek pro demokracii,728495140691300,80,57,0.713,322660,4033,3452460,43156,5320080,66501,3.4
Stanislav Blaha,495496033796328,76,65,0.855,49062,646,610962,8039,1860076,24475,5.7
Andrej Babiš,214827221987263,69,43,0.623,478416,6934,5319966,77101,21915069,317610,1.5
"Václav Salač - hráč, trenér mládeže, milovník fotbalu",100102138818077,59,47,0.797,144220,2444,4295470,72805,56550059,958476,21.4
Martin Kupka,553773474671244,58,47,0.81,44271,763,619471,10681,33100058,570691,5
Evropská komise v ČR,397919187215,43,41,0.953,35028,815,265978,6186,4860043,113024,9.8
Pavel Svoboda,104264008348176,35,26,0.743,37232,1064,331482,9471,1638035,46801,7
Alena Schillerová,384187235387895,34,29,0.853,233833,6877,1577983,46411,4660034,137060,2
Tomáš Zdechovský,275042429350706,33,32,0.97,50884,1542,1011484,30651,24600033,745456,6.9
KSČM - Komunistická strana Čech a Moravy,298789466930469,32,23,0.719,90184,2818,772484,24140,18610032,581564,7.6
Martin Kuba,114474108677288,31,23,0.742,82084,2648,994984,32096,4266031,137614,2.7
Trikolóra,739115596482745,30,19,0.633,191485,6383,2491485,83050,22200030,740001,7.5
Jan Lipavský - poslanec,108697510778834,29,23,0.793,16536,570,96486,3327,1180029,40691,2
Zelení - Strana zelených,39371299263,27,24,0.889,17536,649,232486,8611,1860027,68890,3.6
Jana Černochová,112718776235,25,25,1,127788,5112,3165488,126620,11250025,450001,4.3
Pavla Golasowská,1795946254027412,23,22,0.957,14738,641,496988,21608,4800023,208697,3
"Robin Povšík, zastupitel Mladé Boleslavi, ČSSD",301147597357008,22,21,0.955,17689,804,279989,12727,420022,19092,3.6
KHNP,106008800769282,18,8,0.444,232991,12944,6202491,344583,18000018,1000001,6.9
Ivo Valenta,1414644678821208,17,17,1,14842,873,212492,12500,1510017,88825,3.5
Sev.en Energy,992555574111774,17,1,0.059,78842,4638,1082492,63676,10700017,629413,11.1
Daniel Kůs - kandidát do Poslanecké sněmovny PČR,101894271393926,14,13,0.929,4693,335,35993,2571,1227014,87644,3.5
Kancelář Evropského parlamentu,278212515809,8,5,0.625,4496,562,152996,19124,8000008,1000001,4.1
MUDr. Ivan David,466459903794526,7,7,1,11046,1578,153496,21928,2400106,342872,2.4
Matěj Havel,351488672592066,5,5,1,10298,2060,127998,25600,500005,100001,4.2
Pavel Bělobrádek,156945169098,5,5,1,6748,1350,74498,14900,260005,52001,14
Tomáš Goláň - senátor,1917661888252695,3,3,1,30498,10166,224998,74999,1020003,340001,6
ANO,211401918930049,2,1,0.5,10999,5500,69999,35000,550002,275001,3
František Talíř,2108659169383946,2,1,0.5,799,400,4999,2500,110002,55001,8
Jan Grolich I Hejtman JMK,1681478228766601,2,1,0.5,999,500,38999,19500,200002,100001,4
Svoboda a přímá demokracie - SPD,937443906286455,1,1,1,1250,1250,17500,17500,1000001,1000001,1
Václav Klaus ml.,277957209202178,1,1,1,1750,1750,22500,22500,500001,500001,0
